title,author,price,format,link
"2023 2024 Weekly planner: 24 Month Calendar, 2 Year Weekly Organizer Book for Activities and Appointments with To-Do List (01/18/2023)",by Future Proof Publishing,"
$9.47","
Paperback",https://www.barnesandnoble.com/w/2023-2024-weekly-planner-future-proof-publishing/1142957533?ean=9798823181143
I Wanna New Room (12/02/2010),"by Karen Kaufman Orloff, David Catrow (Illustrator)","
$16.99","
Hardcover",https://www.barnesandnoble.com/w/i-wanna-new-room-karen-kaufman-orloff/1142597704?ean=9780399254055
It Happened One Summer (07/13/2021),by Tessa Bailey,"
$13.49","
Paperback",https://www.barnesandnoble.com/w/it-happened-one-summer-tessa-bailey/1137911272?ean=9780063045651
Power to the Middle: Why Managers Hold the Keys to the Future of Work (07/18/2023),"by Bill Schaninger, Bryan Hancock, Emily Field","
$32.00","
Hardcover",https://www.barnesandnoble.com/w/power-to-the-middle-bill-schaninger/1141938605?ean=9781647824853
Fall of Ruin and Wrath (B&N Exclusive Edition) (09/12/2023),by Jennifer L. Armentrout,"
$23.99","
Hardcover",https://www.barnesandnoble.com/w/fall-of-ruin-and-wrath-jennifer-l-armentrout/1142827125?ean=9781250323705
Sword Catcher (B&N Exclusive Edition) (10/10/2023),by Cassandra Clare,"
$27.00","
Hardcover",https://www.barnesandnoble.com/w/sword-catcher-cassandra-clare/1142842628?ean=9780593600146
Too Late: Definitive Edition (06/27/2023),by Colleen Hoover,"
$16.14","
Paperback",https://www.barnesandnoble.com/w/too-late-colleen-hoover/1143432120?ean=9781538756591
A Touch of Chaos (B&N Exclusive Edition) (Hades X Persephone Series #4) (11/14/2023),by Scarlett St. Clair,"
$16.33","
Paperback",https://www.barnesandnoble.com/w/a-touch-of-chaos-scarlett-st-clair/1143018420?ean=9781728294858
Belladonna (B&N Exclusive Edition) (07/25/2023),by Adalyn Grace,"
$10.19","
Paperback",https://www.barnesandnoble.com/w/belladonna-adalyn-grace/1140276393?ean=9780316570916
A Kids Book About Neurodiversity (06/13/2023),"by Laura Petix, Emma Wolf (Editor), Rick DeLucco (Designed by)","
$24.99","
Hardcover",https://www.barnesandnoble.com/w/a-kids-book-about-neurodiversity-laura-petix/1143683520?ean=9781958825471
Dark Future: Uncovering the Great Reset's Terrifying Next Phase (07/11/2023),"by Glenn Beck, Justin Trask Haskins (Editor), Kendal (Contribution by)","
$32.00","
Hardcover",https://www.barnesandnoble.com/w/dark-future-glenn-beck/1143245342?ean=9781637632116
The Wicked King (Folk of the Air Series #2) (02/11/2020),by Holly Black,"
$12.99","
Paperback",https://www.barnesandnoble.com/w/the-wicked-king-holly-black/1128113143?ean=9780316310321
Holly (09/05/2023),by Stephen King,"
$21.00","
Hardcover",https://www.barnesandnoble.com/w/holly-stephen-king/1142967024?ean=9781668016138
The Silent Patient (05/04/2021),by Alex Michaelides,"
$14.99","
Paperback",https://www.barnesandnoble.com/w/the-silent-patient-alex-michaelides/1128638857?ean=9781250301703
